Food	Calories	Person
Babybel Light	50	Michael
Starbucks short latte	110	Michael
Chocolate coconut water	110	Michael
Level Peanut Butter Cups	150	Michael
Nature Valley Peanut Butter	190	Michael
Death by Coconut beer	200	Michael
Asian Burger no bacon	215	Michael
Gardein Italian Pocket	240	Michael
Flax (1/2) and cashew butter	250	Michael
Asian Burger with 1 bacon	260	Michael
Gardein Kale Pocket	280	Michael
Paratha	280	Michael
Mushroom Mezzaluna	290	Michael
Deep dish cookie pie	360	Michael
Gardein Crabless cakes	390	Michael
Spagetti Squash	400	Michael
Morningstar BBQ riblets (2)	420	Michael
Butternut squash coconut	445	Michael
Gardein 7 grain tenders	500	Michael
Gardein Porkless Bites	510	Michael
Chili 1oz chips 1oz cheese	515	Michael
Asian Burger w/bacon (2)	520	Michael
Gardein Marinara Chicken	530	Michael
Annie Chun Peanut Sesame	540	Michael
Gardein Fish	540	Michael
Gardein Orange Chicken	550	Michael
Gardein Turk'y Cutlets	580	Michael
DQ Reese Blizzard - Small	580	Michael
Croissant Italian sausage	590	Michael
Big salad	600	Michael
DQ Mini + 4 Butterscotch	600	Michael
Gardein Sizzling Szechwan	616	Michael
Gardein Fish + Mayo	720	Michael
DQ Reese Blizzard - Medium	745	Michael
Ben & Jerry Half-Baked Froyo	760	Michael
Jambalaya with cheese	765	Michael
Stand n Stuff tacos (5)	775	Michael
Pillsbury Reese cookies (5)	800	Michael
Dorito tacos (5)	900	Michael
DQ Small + 6 Butterscotch	900	Michael
Pad Thai for two	902	Michael
Pillsbury Reese cookies (6)	960	Michael
P F Chang spicy eggplant	1010	Michael
Velveeta shells & cheese	1080	Michael
Fish tacos (5)	1170	Michael
Domino's Handmade Pan (4)	1240	Michael
Domino's Handmade Pan (5)	1550	Michael
Chocolate Cheesecake Bake Oatmeal	342	Jeannette
Banana Pudding	313	Jeannette
Chocolate Chip Bars	211	Jeannette
Real Food Protien Bar	127	Jeannette
Mint Chocolate Chip Milkshake	278	Jeannette
Elvis PB Pancake	339	Jeannette
Chocolate Chia Pudding	146	Jeannette
Creamiest Oatmeal	334	Jeannette
Superfood Chocolate Bowl	315	Jeannette
PB Fudge Brownie Dip	310	Jeannette
Pumpkin Breakfast Pudding	176	Jeannette
