Food	Calories	Person
red roasted carrots	55
apricot bites	58
chocolate fudge ball	76
vegetable lentil soup	77
apple	100
CCK protien bar	132
eggplant ratatouille	149
southwestern egg scramble	200
gardien pork pocket	230
mushroom tacos	253
chia pudding	265
cookie dough dip	270
gardien barley pocket	280
mint milkshake	289
spicy south indian tofu scramble	290
burger	300
tacos with cabbage shell	300
butternut caprese	306
pb fudge brownie dip	310
quinoa chocolate bowl	315
blueberry oatmeal bake	322
oatmeal	333
pumpking pudding	343
butternut lentil curry	353
deep dish cookie pie	360
spaghetti squash with meatballs	385
elvis pb pancake	389
chocolate brownie	428
tofu in spinach curry	485
butter tofu curry	505
sweet potato enchilada	537
chili	550
snausages	590
Chocolate Cheesecake Bake Oatmeal	342	Jeannette
Banana Pudding	313	Jeannette
Chocolate Chip Bars	211	Jeannette
Real Food Protien Bar	127	Jeannette
Mint Chocolate Chip Milkshake	278	Jeannette
Elvis PB Pancake	339	Jeannette
Chocolate Chia Pudding	146	Jeannette
Creamiest Oatmeal	334	Jeannette
Superfood Chocolate Bowl	315	Jeannette
PB Fudge Brownie Dip	310	Jeannette
Pumpkin Breakfast Pudding	176	Jeannette
